iter	Passed	Remaining
468	3969	4493
469	3976	4484
470	3984	4475
471	3993	4466
472	4000	4456
473	4007	4447
474	4015	4438
475	4023	4428
476	4029	4418
477	4038	4410
478	4045	4400
479	4053	4391
480	4060	4381
481	4068	4372
482	4074	4361
483	4082	4352
484	4090	4343
485	4099	4335
486	4106	4326
487	4116	4319
488	4128	4314
489	4141	4310
490	4154	4306
491	4167	4303
492	4179	4297
493	4190	4292
494	4200	4285
495	4210	4278
496	4221	4272
497	4231	4265
498	4241	4258
499	4251	4251
500	4261	4244
501	4269	4235
502	4279	4228
503	4288	4219
504	4297	4212
505	4304	4202
506	4313	4193
507	4320	4184
508	4328	4175
509	4335	4165
510	4343	4156
511	4350	4146
512	4358	4137
513	4365	4127
514	4373	4119
515	4381	4110
516	4390	4101
517	4397	4091
518	4405	4082
519	4412	4072
520	4420	4064
521	4428	4055
522	4437	4047
523	4445	4037
524	4452	4028
525	4460	4019
526	4468	4011
527	4476	4001
528	4484	3993
529	4491	3982
530	4498	3973
531	4506	3963
532	4512	3953
533	4519	3943
534	4526	3934
535	4535	3926
536	4544	3918
537	4552	3909
538	4560	3900
539	4568	3891
540	4576	3882
541	4584	3873
542	4590	3863
543	4598	3854
544	4607	3846
545	4615	3837
546	4622	3828
547	4629	3818
548	4637	3809
549	4643	3799
550	4651	3790
551	4659	3781
552	4668	3773
553	4676	3764
554	4685	3757
555	4693	3748
556	4701	3739
557	4712	3733
558	4720	3724
559	4728	3715
560	4734	3705
561	4742	3695
562	4749	3686
563	4756	3676
564	4763	3667
565	4771	3658
566	4780	3650
567	4788	3641
568	4795	3632
569	4803	3623
570	4811	3615
571	4819	3606
572	4826	3597
573	4833	3587
574	4840	3577
575	4847	3568
576	4855	3559
577	4863	3550
578	4870	3541
579	4877	3532
580	4884	3522
581	4892	3513
582	4899	3504
583	4907	3496
584	4915	3486
585	4922	3477
586	4929	3467
587	4936	3458
588	4944	3450
589	4952	3441
590	4960	3432
591	4967	3423
592	4976	3415
593	4983	3406
594	4991	3397
595	4999	3388
596	5007	3380
597	5015	3371
598	5024	3363
599	5031	3354
600	5039	3345
601	5046	3336
602	5054	3327
603	5063	3319
604	5072	3311
605	5080	3302
606	5087	3294
607	5094	3284
608	5104	3277
609	5112	3268
610	5119	3259
611	5128	3251
612	5136	3242
613	5145	3234
614	5154	3226
615	5163	3218
616	5172	3211
617	5181	3202
618	5188	3193
619	5197	3185
620	5206	3177
621	5214	3169
622	5222	3160
623	5230	3151
624	5239	3143
625	5246	3134
626	5254	3126
627	5263	3117
628	5271	3109
629	5278	3100
630	5286	3091
631	5292	3081
632	5300	3073
633	5307	3064
634	5316	3055
635	5323	3046
636	5330	3037
637	5337	3028
638	5345	3020
639	5353	3011
640	5361	3002
641	5368	2993
642	5375	2984
643	5383	2976
644	5390	2967
645	5398	2958
646	5407	2950
647	5416	2942
648	5423	2933
649	5432	2925
650	5441	2917
651	5451	2909
652	5460	2901
653	5469	2893
654	5477	2885
655	5485	2876
656	5493	2868
657	5501	2859
658	5510	2851
659	5518	2842
660	5526	2834
661	5533	2825
662	5541	2816
663	5549	2808
664	5560	2801
665	5568	2792
666	5578	2784
667	5585	2776
668	5592	2767
669	5600	2758
670	5608	2749
671	5615	2741
672	5624	2732
673	5631	2723
674	5639	2715
675	5646	2706
676	5654	2697
677	5661	2688
678	5668	2679
679	5676	2671
680	5683	2662
681	5691	2653
682	5698	2644
683	5706	2636
684	5713	2627
685	5721	2618
686	5728	2609
687	5735	2600
688	5742	2591
689	5749	2583
690	5758	2574
691	5766	2566
692	5773	2557
693	5780	2548
694	5787	2539
695	5794	2530
696	5802	2522
697	5809	2513
698	5817	2505
699	5824	2496
700	5832	2487
701	5840	2479
702	5847	2470
703	5854	2461
704	5861	2452
705	5869	2444
706	5877	2435
707	5884	2426
708	5891	2418
709	5899	2409
710	5906	2400
711	5914	2392
712	5921	2383
713	5929	2375
714	5937	2366
715	5945	2358
716	5954	2350
717	5962	2341
718	5970	2333
719	5978	2324
720	5987	2316
721	5995	2308
722	6002	2299
723	6010	2291
724	6016	2282
725	6023	2273
726	6031	2264
727	6038	2255
728	6046	2247
729	6052	2238
730	6059	2230
731	6067	2221
732	6074	2212
733	6081	2203
734	6088	2195
735	6095	2186
736	6103	2177
737	6110	2169
738	6117	2160
739	6124	2152
740	6131	2143
741	6138	2134
742	6146	2125
743	6153	2117
744	6160	2108
745	6166	2099
746	6174	2091
747	6181	2082
748	6190	2074
749	6197	2065
750	6205	2057
751	6211	2048
752	6218	2039
753	6225	2031
754	6232	2022
755	6240	2014
756	6247	2005
757	6254	1996
758	6261	1988
759	6269	1979
760	6277	1971
761	6285	1963
762	6292	1954
763	6300	1946
764	6308	1937
765	6315	1929
766	6323	1920
767	6330	1912
768	6339	1904
769	6346	1895
770	6354	1887
771	6361	1878
772	6369	1870
773	6376	1861
774	6385	1853
775	6392	1845
776	6400	1837
777	6407	1828
778	6414	1819
779	6422	1811
780	6430	1803
781	6437	1794
782	6444	1786
783	6453	1777
784	6460	1769
785	6468	1761
786	6475	1752
787	6484	1744
788	6492	1736
789	6500	1727
790	6506	1719
791	6513	1710
792	6521	1702
793	6530	1694
794	6537	1685
795	6544	1677
796	6554	1669
797	6564	1661
798	6573	1653
799	6584	1646
800	6593	1638
801	6602	1629
802	6611	1621
803	6619	1613
804	6627	1605
805	6634	1596
806	6642	1588
807	6650	1580
808	6658	1571
809	6666	1563
810	6675	1555
811	6682	1547
812	6690	1538
813	6698	1530
814	6707	1522
815	6716	1514
816	6727	1506
817	6736	1498
818	6744	1490
819	6752	1482
820	6761	1474
821	6775	1467
822	6789	1460
823	6803	1453
824	6815	1445
825	6828	1438
826	6839	1430
827	6848	1422
828	6858	1414
829	6869	1406
830	6879	1399
831	6890	1391
832	6901	1383
833	6910	1375
834	6921	1367
835	6932	1359
836	6942	1352
837	6953	1344
838	6963	1336
839	6973	1328
840	6984	1320
841	6993	1312
842	7005	1304
843	7015	1296
844	7022	1288
845	7030	1279
846	7037	1271
847	7045	1262
848	7053	1254
849	7062	1246
850	7071	1238
851	7079	1229
852	7087	1221
853	7094	1212
854	7101	1204
855	7107	1195
856	7116	1187
857	7124	1179
858	7131	1170
859	7139	1162
860	7146	1153
861	7153	1145
862	7161	1136
863	7169	1128
864	7176	1120
865	7183	1111
866	7191	1103
867	7198	1094
868	7205	1086
869	7214	1078
870	7222	1069
871	7231	1061
872	7240	1053
873	7248	1044
874	7254	1036
875	7262	1028
876	7269	1019
877	7276	1011
878	7283	1002
879	7291	994
880	7299	985
881	7306	977
882	7313	969
883	7320	960
884	7328	952
885	7335	943
886	7343	935
887	7350	927
888	7359	918
889	7368	910
890	7376	902
891	7383	894
892	7390	885
893	7398	877
894	7406	868
895	7413	860
896	7420	852
897	7428	843
898	7436	835
899	7443	827
900	7450	818
901	7457	810
902	7465	801
903	7472	793
904	7479	785
905	7487	776
906	7495	768
907	7504	760
908	7511	751
909	7519	743
910	7526	735
911	7534	726
912	7541	718
913	7547	710
914	7556	701
915	7562	693
916	7570	685
917	7577	676
918	7584	668
919	7593	660
920	7601	652
921	7607	643
922	7615	635
923	7622	626
924	7629	618
925	7636	610
926	7643	601
927	7652	593
928	7659	585
929	7668	577
930	7674	568
931	7682	560
932	7689	552
933	7696	543
934	7705	535
935	7714	527
936	7720	519
937	7728	510
938	7736	502
939	7743	494
940	7750	485
941	7757	477
942	7765	469
943	7772	461
944	7780	452
945	7787	444
946	7795	436
947	7802	427
948	7809	419
949	7816	411
950	7823	403
951	7831	394
952	7838	386
953	7846	378
954	7853	370
955	7860	361
956	7867	353
957	7874	345
958	7881	336
959	7889	328
960	7897	320
961	7905	312
962	7913	304
963	7921	295
964	7930	287
965	7940	279
966	7947	271
967	7956	263
968	7965	254
969	7974	246
970	7982	238
971	7989	230
972	7997	221
973	8006	213
974	8014	205
975	8023	197
976	8031	189
977	8040	180
978	8049	172
979	8057	164
980	8065	156
981	8073	147
982	8081	139
983	8092	131
984	8108	123
985	8121	115
986	8136	107
987	8149	98
988	8162	90
989	8174	82
990	8186	74
991	8196	66
992	8206	57
993	8215	49
994	8223	41
995	8232	33
996	8241	24
997	8250	16
998	8257	8
999	8265	0
